movieName,pageRank,ratingcount
Forrest Gump,11.121884931431028,342
Pulp Fiction,10.599918683821867,324
"Shawshank Redemption, The",10.212405832437383,312
"Silence of the Lambs, The",9.98083324986859,305
Star Wars: Episode IV - A New Hope,9.635048771231295,292
"Matrix, The",8.900392257759822,260
Jurassic Park,8.777947862860696,275
Toy Story,8.19090536972504,247
Schindler's List,7.991199047097408,244
Star Wars: Episode V - The Empire Strikes Back,7.875101554106979,234
Back to the Future,7.7698954206550725,226
Terminator 2: Judgment Day,7.628511333330553,238
Fargo,7.530353985232678,224
American Beauty,7.520207992475912,220
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),7.405962467298413,220
Star Wars: Episode VI - Return of the Jedi,7.362608760069299,217
Braveheart,7.306998909686161,228
Independence Day (a.k.a. ID4),7.2456238245868585,218
Fight Club,7.027436773076868,202
"Lord of the Rings: The Fellowship of the Ring, The",6.959718616411077,201
Aladdin,6.928278122762458,216
"Godfather, The",6.909369609218216,201
"Fugitive, The",6.706728573566587,213
"Sixth Sense, The",6.6649615054234825,193
Seven (a.k.a. Se7en),6.643118297790375,201
"Usual Suspects, The",6.553512095473327,201
Men in Black (a.k.a. MIB),6.513616469092351,190
Saving Private Ryan,6.505560774004626,191
"Lion King, The",6.485099467109265,200
"Lord of the Rings: The Two Towers, The",6.4431788732693995,188
Twelve Monkeys (a.k.a. 12 Monkeys),6.419123684406847,196
Dances with Wolves,6.4108184755502675,202
Apollo 13,6.3167251264855135,200
True Lies,6.25646728880787,198
Batman,6.233324945618935,196
"Lord of the Rings: The Return of the King, The",6.085812407324987,176
Shrek,6.062472316671679,174
Speed,5.925379554150286,180
Titanic,5.720085312951857,164
Ace Ventura: Pet Detective,5.68089918042762,175
Groundhog Day,5.632527719077371,165
Beauty and the Beast,5.613753112429667,176
Gladiator,5.591201345916161,161
"Princess Bride, The",5.543230437243702,163
Good Will Hunting,5.536741537722714,157
E.T. the Extra-Terrestrial,5.466732894131292,160
Mission: Impossible,5.459734655518497,168
"Terminator, The",5.338430251926624,158
Ghostbusters (a.k.a. Ghost Busters),5.133687775715096,147
Die Hard,5.129276985519821,151
Monty Python and the Holy Grail,5.1245577342209705,145
"Mask, The",5.102418298246745,157
Blade Runner,5.098023163765647,146
Dumb & Dumber (Dumb and Dumber),5.010198137260726,158
Pirates of the Caribbean: The Curse of the Black Pearl,4.983123956754428,141
One Flew Over the Cuckoo's Nest,4.976170081477552,144
Mrs. Doubtfire,4.966191521785464,153
Indiana Jones and the Last Crusade,4.961261606705411,147
Twister,4.918721293063572,150
Willy Wonka & the Chocolate Factory,4.916772275969222,148
Babe,4.882192948297893,148
"Truman Show, The",4.83927800618063,137
Spider-Man,4.801513035565337,134
Pretty Woman,4.788954343706536,147
"Godfather: Part II, The",4.782280487744419,135
Star Wars: Episode I - The Phantom Menace,4.730217081077501,138
Goodfellas,4.687460390514957,131
Memento,4.685784329299547,132
"Amelie (Fabuleux destin d'Amélie Poulain, Le)",4.678359788348798,125
Ocean's Eleven,4.652947342510121,130
Ferris Bueller's Day Off,4.648722636585157,133
Reservoir Dogs,4.634093967221246,132
Stargate,4.616808953771195,145
Being John Malkovich,4.611175979712142,126
"Monsters, Inc.",4.605239901252685,130
Die Hard: With a Vengeance,4.504554774758928,142
Léon: The Professional (a.k.a. The Professional) (Léon),4.50420583068106,132
2001: A Space Odyssey,4.484514455725725,123
"Dark Knight, The",4.480283262254363,121
X-Men,4.468461513806934,127
"Clockwork Orange, A",4.461265237547878,121
"Incredibles, The",4.4611071835573775,126
"Rock, The",4.439139661135596,135
Alien,4.416703214110532,127
Trainspotting,4.371074942515758,124
L.A. Confidential,4.35240332121132,125
Finding Nemo,4.33845120691092,122
Toy Story 2,4.318436934818458,125
Home Alone,4.31764898116476,129
"Big Lebowski, The",4.3163883527302,120
Casablanca,4.299674911723629,117
There's Something About Mary,4.291626398469837,123
Inception,4.271329792528596,111
Aliens,4.265547451969409,125
Taxi Driver,4.260819989760852,118
Shakespeare in Love,4.235314828151589,121
Rain Man,4.192440958978905,119
"Fifth Element, The",4.168746375167613,118
"Breakfast Club, The",4.156734878574372,117
"Beautiful Mind, A",4.146467672926479,114
"Crouching Tiger, Hidden Dragon (Wo hu cang long)",4.135880114361712,114
Batman Forever,4.135266323292108,129
"Wizard of Oz, The",4.12443714679902,117
Ghost,4.109674944618423,126
Sleepless in Seattle,4.097755359026506,125
Minority Report,4.065833152188171,115
Interview with the Vampire: The Vampire Chronicles,4.050955705847409,125
Four Weddings and a Funeral,4.039364201096498,122
Kill Bill: Vol. 1,4.0248974139540845,111
Apocalypse Now,4.015396340143425,112
Clueless,4.0100468606939375,120
Armageddon,3.923675528188125,113
American Pie,3.9192602043831966,111
Eternal Sunshine of the Spotless Mind,3.9139406455921795,106
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,3.888462901032456,105
Austin Powers: The Spy Who Shagged Me,3.88708744916605,112
GoldenEye,3.8695482855937544,122
Jaws,3.8645331603398554,108
Stand by Me,3.8564077710099114,112
Full Metal Jacket,3.828772839067322,104
American History X,3.81098022045252,107
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone),3.8001042294143645,105
Who Framed Roger Rabbit?,3.7892416346461144,108
Airplane!,3.783295553121422,106
Clerks,3.773173647567596,109
Kill Bill: Vol. 2,3.7708323555250023,103
Austin Powers: International Man of Mystery,3.7664391884823742,107
Batman Begins,3.745644935070421,105
Big,3.7410453782738284,107
Beetlejuice,3.7344205451637946,104
Office Space,3.7151779518214596,106
Jerry Maguire,3.70747013798903,106
"Shining, The",3.7001290846747916,101
"Bug's Life, A",3.665241331861639,105
Total Recall,3.64355295008861,104
"Green Mile, The",3.6426679890292673,103
"Bourne Identity, The",3.6409155337471115,100
Clear and Present Danger,3.6313144018044974,115
Natural Born Killers,3.629522015492923,107
Star Trek: Generations,3.6057486535578116,114
Waterworld,3.592322267642855,113
Jumanji,3.5856154215433436,107
Chicken Run,3.5851002242424403,99
Catch Me If You Can,3.568899402734358,99
Almost Famous,3.5514150990158906,99
Life Is Beautiful (La Vita è bella),3.550719557485735,99
As Good as It Gets,3.5494240470218714,99
Indiana Jones and the Temple of Doom,3.547470891414908,98
Back to the Future Part II,3.5306178814090368,99
Heat,3.5228129282716627,104
"Firm, The",3.5020575898636266,110
"O Brother, Where Art Thou?",3.4866488887324287,96
Donnie Darko,3.4824897020825447,93
Amadeus,3.4625470347048037,100
Outbreak,3.458526183621664,110
Cast Away,3.4568847740607707,96
Snatch,3.4412618789109053,95
Dead Man Walking,3.4261185330882515,104
Dead Poets Society,3.414063143591267,95
Leaving Las Vegas,3.3811754817009776,101
Cliffhanger,3.3738558151429032,106
"Hunt for Red October, The",3.364347092227971,97
Back to the Future Part III,3.3361338623694707,94
"Net, The",3.3335912441284075,102
While You Were Sleeping,3.327074092067362,101
Edward Scissorhands,3.2966752289209627,89
Rear Window,3.265830500050079,92
"Blues Brothers, The",3.2583257024993273,94
High Fidelity,3.252600129594184,88
Happy Gilmore,3.236556781395033,94
Citizen Kane,3.236467703812039,85
Monty Python's Life of Brian,3.2333489148580403,91
Meet the Parents,3.219728994150163,88
Lost in Translation,3.213216284410705,85
Contact,3.212466738389933,92
Lethal Weapon,3.2029267092580533,90
Grease,3.2015499754815346,90
"Graduate, The",3.1925399302824613,89
Get Shorty,3.185652027919374,95
Casino,3.171872357556278,88
North by Northwest,3.1496769069123802,87
"Departed, The",3.141645367062286,84
Demolition Man,3.1340895173713363,95
Erin Brockovich,3.125913156627925,85
Ace Ventura: When Nature Calls,3.106343226552973,92
Spider-Man 2,3.08678681391579,84
"Fish Called Wanda, A",3.0768051777773353,89
Harry Potter and the Prisoner of Azkaban,3.073308369103244,84
"Blair Witch Project, The",3.061752067489276,86
Annie Hall,3.06108183590704,80
WALL·E,3.0402436491307974,76
"Nightmare Before Christmas, The",3.027772524892974,90
Sin City,3.015316588240586,80
"Birdcage, The",3.0141447116683664,93
Shrek 2,3.0120060517338363,81
When Harry Met Sally...,3.010997340007505,87
Star Wars: Episode II - Attack of the Clones,3.0092453362931555,82
"Matrix Reloaded, The",3.0085294753268017,82
Broken Arrow,3.0059366583184692,93
Gattaca,2.993063879299993,84
Harry Potter and the Chamber of Secrets,2.9776663082906736,81
Dave,2.9673623952679336,90
Quiz Show,2.9665271529513078,90
Face/Off,2.9595208360701437,83
What's Eating Gilbert Grape,2.948890219633226,88
Little Miss Sunshine,2.9370561457954416,76
X2: X-Men United,2.9244299159788034,81
Sense and Sensibility,2.9126214651995186,86
"Mummy, The",2.90845646946203,79
Mission: Impossible II,2.904864645107697,81
This Is Spinal Tap,2.9012078265950927,82
Dogma,2.891908342952785,79
Run Lola Run (Lola rennt),2.8917266357353486,80
Charlie's Angels,2.8813299187041315,79
Mars Attacks!,2.8703817689716082,80
To Kill a Mockingbird,2.8691630023014105,80
Psycho,2.8614063024859866,77
Mr. Holland's Opus,2.8428608145540104,87
Election,2.8403827614862465,79
Philadelphia,2.829230555840685,86
Chinatown,2.8225961273308626,76
12 Angry Men,2.8185479085863645,74
"Sound of Music, The",2.8155422110926303,80
Iron Man,2.815506570347751,75
Star Trek: First Contact,2.8129557952139392,82
Juno,2.797552669692281,72
"Bourne Supremacy, The",2.7961573800734847,74
Mary Poppins,2.793295574036146,78
"Little Mermaid, The",2.7868655587127633,78
"Untouchables, The",2.773258514972173,78
"Lock, Stock & Two Smoking Barrels",2.7678682752951986,74
"American President, The",2.7627669329356603,82
Butch Cassidy and the Sundance Kid,2.738658752136262,75
Ed Wood,2.7370624077027768,78
"Game, The",2.7225976843710225,76
"South Park: Bigger, Longer and Uncut",2.7225494382527846,75
Bridget Jones's Diary,2.7222520699787407,71
Requiem for a Dream,2.713992949508885,69
"Honey, I Shrunk the Kids",2.710290402750965,76
Wallace & Gromit: The Wrong Trousers,2.7032319837371084,75
Wayne's World,2.699172614124202,74
"Few Good Men, A",2.6941187105945574,76
V for Vendetta,2.6912968131770834,73
"Christmas Story, A",2.6839879123671695,75
Traffic,2.673410813386488,73
City of God (Cidade de Deus),2.673237676544314,69
Shaun of the Dead,2.665586599431972,70
My Cousin Vinny,2.6597771930284373,76
Young Frankenstein,2.6596696723044104,74
In the Line of Fire,2.658942137539726,80
Scream,2.6578521890813263,73
"Piano, The",2.6544342024945853,78
It's a Wonderful Life,2.638680739727604,72
"English Patient, The",2.635836255947323,74
Avatar,2.6236602039068795,67
Superman,2.623114179565674,75
Raising Arizona,2.5980336345315074,70
Vertigo,2.5877910174327923,69
Starship Troopers,2.569229203145251,72
Ransom,2.5686390564089017,76
Some Like It Hot,2.564702766060248,66
"Royal Tenenbaums, The",2.559868189374234,69
Crimson Tide,2.556857548049894,80
Star Trek II: The Wrath of Khan,2.5495601227377747,72
"Abyss, The",2.541945324333604,71
Rushmore,2.535780967674161,68
Top Gun,2.5336368267659655,74
Air Force One,2.5298704938387795,70
Rocky,2.513361081092089,69
"Wedding Singer, The",2.5116825613577536,70
Liar Liar,2.5078940001227736,71
Gone with the Wind,2.4973575214187806,68
Snow White and the Seven Dwarfs,2.475132293643088,71
Enemy of the State,2.4719790600357263,67
Phenomenon,2.4648335582169723,72
Platoon,2.4568135183636306,68
Singin' in the Rain,2.449668359712532,64
Eyes Wide Shut,2.435661043866156,63
Million Dollar Baby,2.434709027494951,65
True Romance,2.428862788299768,70
Spirited Away (Sen to Chihiro no kamikakushi),2.4269706270443603,63
Field of Dreams,2.4235454842357735,67
Notting Hill,2.4221389388432724,64
Galaxy Quest,2.413341918692573,65
Up,2.412321321882075,61
Batman Returns,2.412198508685902,64
Die Hard 2,2.4075689662130126,66
"Bridge on the River Kwai, The",2.4052216154388475,65
"Lost World: Jurassic Park, The",2.4043841988402055,67
Inglourious Basterds,2.4041964874361184,59
"Exorcist, The",2.3950602977475492,64
Chasing Amy,2.3918307154746503,65
"Talented Mr. Ripley, The",2.3862263623743365,66
Romancing the Stone,2.3843714332957444,65
Pinocchio,2.381996530060133,66
Ice Age,2.377941499728384,63
Legends of the Fall,2.375838962317482,73
Addams Family Values,2.3692039829185183,73
Brazil,2.3687314350829385,62
"Pianist, The",2.3654642839486737,61
"Nutty Professor, The",2.3616835997904566,68
"Bourne Ultimatum, The",2.3585033774737867,61
Blazing Saddles,2.351779729983031,62
Pleasantville,2.3499850868368903,64
Maverick,2.347875818828209,71
300,2.3437371692867646,59
"Sting, The",2.3403820882989814,63
You've Got Mail,2.3304345791404466,60
"Patriot, The",2.329386454166952,65
Ratatouille,2.3273126084937017,59
Close Encounters of the Third Kind,2.326703285762961,62
Boogie Nights,2.3224862385645437,62
Sling Blade,2.321496705592976,66
"Client, The",2.321378991429721,70
"Rocky Horror Picture Show, The",2.3193115597705463,63
"Santa Clause, The",2.3080895206061087,70
Star Wars: Episode III - Revenge of the Sith,2.3049918380304106,62
Arachnophobia,2.298562917495222,62
Eraser,2.2966307448455523,69
Fantasia,2.2919895796040546,64
Judge Dredd,2.2904387607470076,70
Casino Royale,2.2840713869146643,61
"Full Monty, The",2.2823503812871544,64
Heathers,2.280188308971388,61
Grosse Pointe Blank,2.278299413938252,64
Pirates of the Caribbean: Dead Man's Chest,2.2775026480253677,59
"Maltese Falcon, The",2.2720591435244435,62
Wallace & Gromit: A Close Shave,2.265230314625772,62
Unbreakable,2.2642476446311024,62
Bowling for Columbine,2.260341369005491,58
Naked Gun 33 1/3: The Final Insult,2.2537024674747146,67
Robin Hood: Men in Tights,2.2455429806257308,65
10 Things I Hate About You,2.241346564090163,57
Star Trek IV: The Voyage Home,2.226833163034024,65
Kingpin,2.219627826598501,60
The Devil's Advocate,2.2187618721813367,60
Manhattan,2.208277901945893,54
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)",2.2082141574395746,57
A.I. Artificial Intelligence,2.2077673891142227,55
Harry Potter and the Goblet of Fire,2.2016092554110855,59
"Truth About Cats & Dogs, The",2.2015296311765113,61
Crocodile Dundee,2.201148598398714,60
Wag the Dog,2.2009131470219234,59
Magnolia,2.1987147775062312,57
Best in Show,2.194852423536065,59
Desperado,2.1878444005779847,63
"Crow, The",2.1815535556878127,67
Jackie Brown,2.1793043493779143,57
Hoop Dreams,2.1767516566934866,61
Dragonheart,2.175519582496607,62
Like Water for Chocolate (Como agua para chocolate),2.1754087106056246,62
M*A*S*H (a.k.a. MASH),2.168950229120554,59
Con Air,2.165568623676078,59
Blade,2.1655592268155974,58
"I, Robot",2.1641492034708403,57
Garden State,2.15635027781138,58
"Italian Job, The",2.1512247242683613,55
Signs,2.1467686910863573,54
District 9,2.1399622252632704,53
Executive Decision,2.1373119509190133,61
Animal House,2.134995459665571,59
"League of Their Own, A",2.1348608983036503,57
Planet of the Apes,2.1255618511634373,57
Seven Samurai (Shichinin no samurai),2.1236967242979046,54
RoboCop,2.1232092055533798,58
Unforgiven,2.1191785419994806,57
Big Fish,2.1185745961530245,55
Spaceballs,2.1120031710286935,58
Shutter Island,2.110872548356938,51
Pocahontas,2.107405288422831,61
Bonnie and Clyde,2.0993554448639578,56
Basic Instinct,2.0972166595329886,56
Gone in 60 Seconds,2.0939101745709805,56
Love Actually,2.0937901027089216,55
City Slickers II: The Legend of Curly's Gold,2.0894015897350924,63
"Pan's Labyrinth (Laberinto del fauno, El)",2.085965860806563,52
"Prestige, The",2.0815246820003472,52
"Good Morning, Vietnam",2.078658587102593,53
William Shakespeare's Romeo + Juliet,2.0772588099742686,58
Moulin Rouge,2.074892499462089,55
"Birds, The",2.0730583757598744,51
Witness,2.0707732162762276,56
Congo,2.0703681401297764,63
Lethal Weapon 2,2.0694852517274995,57
Cinderella,2.068482632189984,55
Caddyshack,2.0577481794397996,54
Slumdog Millionaire,2.0540731759252586,52
"Cable Guy, The",2.0531830991842153,59
Much Ado About Nothing,2.0478120933975545,60
American Psycho,2.041479584612221,51
Miss Congeniality,2.0396219861035005,53
Dirty Dancing,2.0393580657785755,53
Goldfinger,2.036875661081246,53
About a Boy,2.0345733517389877,52
Glory,2.0251942285356592,58
"Matrix Revolutions, The",2.02000058103012,54
"Mask of Zorro, The",2.0188101901830535,55
Casper,2.0173129036854442,58
No Country for Old Men,2.0146213761170664,49
Grumpier Old Men,2.0134663028394297,59
Hot Shots! Part Deux,2.0020540203824333,59
Fast Times at Ridgemont High,1.9810603011598,52
Raging Bull,1.9776155129831388,50
Alien³ (a.k.a. Alien 3),1.970391169063957,55
Chicago,1.9688682419135304,51
Muriel's Wedding,1.9684256350011617,56
My Best Friend's Wedding,1.9683714783030863,52
Cruel Intentions,1.9678969953316738,51
Bruce Almighty,1.9667355972043579,50
Dracula (Bram Stoker's Dracula),1.9662259851482502,52
"African Queen, The",1.966110233442917,50
Beverly Hills Cop,1.9654715985624147,51
Lady and the Tramp,1.9649322092107697,51
Mr. & Mrs. Smith,1.9624426924523428,49
French Kiss,1.9621237763932846,60
Antz,1.9595405889389377,53
28 Days Later,1.9587284461493317,52
Star Trek,1.955796553546124,51
Sleepy Hollow,1.9477312994350653,52
Dark City,1.9465037195280208,51
Analyze This,1.94643273060743,51
Father of the Bride Part II,1.9454872917579185,56
Go,1.9446907270446756,50
Predator,1.940971125918013,53
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The",1.939566166432603,49
"40-Year-Old Virgin, The",1.9392455186076831,51
My Big Fat Greek Wedding,1.9391445901744033,51
School of Rock,1.935198844333444,51
"Dark Knight Rises, The",1.9304870314193123,48
"Boot, Das (Boat, The)",1.9261022032028334,51
Legally Blonde,1.9226635533736185,47
"Perfect Storm, The",1.9226172127938297,53
"Others, The",1.9183679653848766,49
