movieName,pageRank,ratingcount
Forrest Gump,11.12188493143103,341
Pulp Fiction,10.599918683821867,324
"Shawshank Redemption, The",10.212405832437389,311
"Silence of the Lambs, The",9.980833249868592,304
Star Wars: Episode IV - A New Hope,9.635048771231295,291
"Matrix, The",8.900392257759824,259
Jurassic Park,8.777947862860698,274
Toy Story,8.190905369725044,247
Schindler's List,7.991199047097408,244
Star Wars: Episode V - The Empire Strikes Back,7.875101554106979,234
Back to the Future,7.769895420655074,226
Terminator 2: Judgment Day,7.628511333330554,237
Fargo,7.530353985232681,224
American Beauty,7.520207992475916,220
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),7.405962467298414,220
Star Wars: Episode VI - Return of the Jedi,7.3626087600693,217
Braveheart,7.306998909686163,228
Independence Day (a.k.a. ID4),7.245623824586859,218
Fight Club,7.027436773076872,202
"Lord of the Rings: The Fellowship of the Ring, The",6.959718616411079,200
Aladdin,6.928278122762459,215
"Godfather, The",6.909369609218217,200
"Fugitive, The",6.70672857356659,213
"Sixth Sense, The",6.664961505423485,193
Seven (a.k.a. Se7en),6.643118297790377,201
"Usual Suspects, The",6.5535120954733275,201
Men in Black (a.k.a. MIB),6.513616469092351,190
Saving Private Ryan,6.505560774004628,191
"Lion King, The",6.485099467109265,200
"Lord of the Rings: The Two Towers, The",6.4431788732693995,188
Twelve Monkeys (a.k.a. 12 Monkeys),6.4191236844068476,196
Dances with Wolves,6.410818475550268,202
Apollo 13,6.316725126485514,200
True Lies,6.256467288807871,198
Batman,6.233324945618937,196
"Lord of the Rings: The Return of the King, The",6.085812407324989,176
Shrek,6.06247231667168,174
Speed,5.925379554150288,180
Titanic,5.720085312951858,164
Ace Ventura: Pet Detective,5.680899180427621,175
Groundhog Day,5.6325277190773715,165
Beauty and the Beast,5.613753112429668,176
Gladiator,5.591201345916163,161
"Princess Bride, The",5.543230437243703,163
Good Will Hunting,5.5367415377227145,157
E.T. the Extra-Terrestrial,5.466732894131295,160
Mission: Impossible,5.4597346555185,168
"Terminator, The",5.338430251926624,158
Ghostbusters (a.k.a. Ghost Busters),5.133687775715097,147
Die Hard,5.129276985519823,151
Monty Python and the Holy Grail,5.124557734220972,145
"Mask, The",5.102418298246745,157
